DateTime,NOx,NO2,NO,SiteID,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Temperature,RH,Air Pressure,Location,geo_point_2d,DateStart,DateEnd,Current,Instrument Type
2019-04-29 23:00:00+00:00,122.25,49.25,47.75,501,30.4,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-04-30 03:00:00+00:00,42.25,35.25,4.5,501,20.275,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-01 06:00:00+00:00,82.0,48.5,21.75,501,28.125,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-01 18:00:00+00:00,357.25,117.75,156.5,501,27.7,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-02 14:00:00+00:00,194.5,73.25,79.25,501,23.775,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-02 17:00:00+00:00,236.25,89.5,95.75,501,22.925,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-03 02:00:00+00:00,63.25,36.5,17.25,501,16.55,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-03 03:00:00+00:00,71.0,38.0,21.25,501,16.075,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-03 07:00:00+00:00,376.0,92.75,184.75,501,18.375,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
2019-05-03 14:00:00+00:00,274.75,89.0,121.0,501,18.625,13.975166992249031,3.445466002898733,9.139141177051933,11.522119312803936,3.292385234965657,0.3706192803956118,45.15218568851587,1.7581518031743144,9.48951069974616,18.555306606898537,DefaultValue,Colston Avenue,"51.455269382758324, -2.596648828557916",2018-11-30T00:00:00+00:00,2015-12-31T00:00:00+00:00,True,Continuous Reference
